===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 16.35s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]4.75 [I]40.60 [D]0.00 (Err: 1.58) 
T: 16.35s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.19 [D]0.00 (Err: 1.58) 
T: 16.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.75 [D]-1.05 (Err: 0.53) 
T: 16.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.37 [D]-1.05 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.72 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.38 [D]0.00 (Err: 0.53) 
T: 17.10s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.56 [D]0.00 (Err: 0.53) 
T: 17.10s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.23 [D]0.00 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.34 [D]0.00 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.01 [D]0.00 (Err: 0.53) 
T: 17.61s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]4.75 [I]40.36 [D]0.00 (Err: 1.58) 
T: 17.61s | SP: 30.00 | SPD R: 28.42 | DUTY R: 68 | [P]4.75 [I]31.07 [D]0.00 (Err: 1.58) 
T: 17.86s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.58 [D]-1.05 (Err: 0.53) 
T: 17.86s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.25 [D]-1.05 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.76 [D]0.00 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.49 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.78 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.53 [D]0.00 (Err: 0.53) 
T: 18.61s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.56 [I]40.66 [D]-1.05 (Err: -0.52) 
T: 18.61s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.44 [D]0.00 (Err: 0.53) 
T: 18.87s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.56 [I]40.45 [D]-1.05 (Err: -0.52) 
T: 18.87s | SP: 30.00 | SPD R: 30.52 | DUTY R: 64 | [P]-1.56 [I]31.26 [D]-1.05 (Err: -0.52) 
T: 19.12s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.54 [D]-1.05 (Err: 0.53) 
T: 19.12s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.25 [D]-1.05 (Err: 0.53) 
T: 19.37s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.73 [D]0.00 (Err: 0.53) 
T: 19.37s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.48 [D]0.00 (Err: 0.53) 
T: 19.62s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.91 [D]0.00 (Err: 0.53) 
T: 19.62s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.66 [D]0.00 (Err: 0.53) 
T: 19.87s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.56 [I]40.90 [D]-1.05 (Err: -0.52) 
T: 19.87s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-1.56 [I]31.65 [D]-1.05 (Err: -0.52) 
T: 20.12s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.56 [I]40.81 [D]-1.05 (Err: -0.52) 
T: 20.12s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-1.56 [I]31.54 [D]0.00 (Err: -0.52) 
T: 20.38s | SP: 30.00 | SPD L: 30.52 | DUTY L: 70 | [P]-1.56 [I]40.65 [D]0.00 (Err: -0.52) 
T: 20.38s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-1.56 [I]31.34 [D]0.00 (Err: -0.52) 
T: 20.63s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.69 [D]0.00 (Err: 0.53) 
T: 20.63s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.37 [D]0.00 (Err: 0.53) 
T: 20.88s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.87 [D]0.00 (Err: 0.53) 
T: 20.88s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]1.60 [I]31.56 [D]0.00 (Err: 0.53) 
T: 21.13s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.56 [I]40.86 [D]-1.05 (Err: -0.52) 
T: 21.13s | SP: 30.00 | SPD R: 30.52 | DUTY R: 64 | [P]-1.56 [I]31.55 [D]-1.05 (Err: -0.52) 
T: 21.38s | SP: 30.00 | SPD L: 30.52 | DUTY L: 70 | [P]-1.56 [I]40.85 [D]0.00 (Err: -0.52) 
T: 21.38s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-1.56 [I]31.54 [D]0.00 (Err: -0.52) 
T: 21.63s | SP: 30.00 | SPD L: 30.52 | DUTY L: 70 | [P]-1.56 [I]40.76 [D]0.00 (Err: -0.52) 
T: 21.63s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-1.56 [I]31.45 [D]0.00 (Err: -0.52) 
T: 21.88s | SP: 30.00 | SPD L: 30.52 | DUTY L: 70 | [P]-1.56 [I]40.58 [D]0.00 (Err: -0.52) 
T: 21.88s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-1.56 [I]31.29 [D]0.00 (Err: -0.52) 
T: 22.14s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.60 [I]40.63 [D]0.00 (Err: 0.53) 
T: 22.14s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]1.60 [I]31.34 [D]0.00 (Err: 0.53) 
T: 22.39s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.56 [I]40.79 [D]-1.05 (Err: -0.52) 
T: 22.39s | SP: 30.00 | SPD R: 30.52 | DUTY R: 64 | [P]-1.56 [I]31.53 [D]-1.05 (Err: -0.52) 
T: 22.64s | SP: 30.00 | SPD L: 30.52 | DUTY L: 70 | [P]-1.56 [I]40.79 [D]0.00 (Err: -0.52) 
T: 22.64s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-1.56 [I]31.52 [D]0.00 (Err: -0.52) 
T: 22.89s | SP: 30.00 | SPD L: 30.52 | DUTY L: 70 | [P]-1.56 [I]40.86 [D]0.00 (Err: -0.52) 
T: 22.89s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-1.56 [I]31.59 [D]0.00 (Err: -0.52) 
T: 23.14s | SP: 30.00 | SPD L: 30.52 | DUTY L: 70 | [P]-1.56 [I]40.79 [D]0.00 (Err: -0.52) 
